client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,age_group,client_ref,total_properties_bought,total_investment_value,avg_property_value,max_property_value,avg_floor_area,latest_purchase_date,Apartment,Office,purchase_recency_days,multi_property_buyer_flag,cluster,hierarchical_cluster,buyer_segment
C0389,Individual,Ronald,Stone,,M,USA,Colorado,Personal Use,3,No,Website,56.0,46-60,C0389,4,1261549.0899999999,315387.27249999996,439227.72,1119.0900000000001,2025-06-01,2,2,303,1,1,0,Global Investors
C0390,Individual,Steven,Griffin,,M,Canada,Quebec,Investment,2,No,Website,56.0,46-60,C0390,4,1678762.0699999998,419690.51749999996,550273.32,1295.2649999999999,2024-09-01,3,1,576,1,3,1,Luxury Investors
C0391,Individual,Heather,Long,1966-11-12,F,USA,California,Personal Use,5,No,Agency,60.0,46-60,C0391,3,1035012.9099999999,345004.3033333333,502064.98,1064.4166666666667,2024-08-01,3,0,607,1,2,3,Corporate Buyers
C0392,Individual,Katherine,Adams,,F,USA,Arizona,Personal Use,2,Yes,Website,56.0,46-60,C0392,4,1015830.03,253957.5075,448959.32,922.6600000000001,2025-09-01,4,0,211,1,1,0,Global Investors
C0393,Individual,Nicole,Allen,1988-06-08,F,USA,Arizona,Personal Use,4,No,Agency,38.0,31-45,C0393,4,1616556.78,404139.195,492421.76,1298.145,2025-05-01,3,1,334,1,3,0,Luxury Investors
C0394,Individual,Shirley,Foster,,F,USA,Colorado,Personal Use,3,Yes,Website,56.0,46-60,C0394,4,1258840.0,314710.0,600821.21,1041.8025,2025-08-01,3,1,242,1,1,0,Global Investors
C0395,Individual,Deborah,Chavez,,F,USA,Florida,Personal Use,1,No,Website,56.0,46-60,C0395,3,1153134.48,384378.16,493489.81,1303.4733333333334,2025-01-01,2,1,454,1,2,0,Corporate Buyers
C0396,Individual,Charles,Allen,,M,USA,Nevada,Personal Use,5,No,Agency,56.0,46-60,C0396,4,1181447.25,295361.8125,414855.4,896.2524999999999,2025-08-01,4,0,242,1,1,3,Global Investors
C0397,Individual,Hannah,Williams,,F,USA,California,Personal Use,5,No,Website,56.0,46-60,C0397,3,793543.27,264514.42333333334,299573.55,862.11,2025-07-01,3,0,273,1,1,3,Global Investors
C0398,Individual,Jennifer,Alexander,,F,USA,Texas,Personal Use,1,Yes,Agency,56.0,46-60,C0398,4,1186693.85,296673.4625,416143.54,935.765,2024-07-01,3,1,638,1,2,3,Corporate Buyers
C0399,Individual,Albert,Kim,1984-06-09,M,USA,California,Personal Use,4,No,Agency,42.0,31-45,C0399,4,1229057.49,307264.3725,470140.59,1093.05,2025-02-01,3,1,423,1,2,0,Corporate Buyers
C0400,Individual,Brandon,Anderson,,M,USA,California,Personal Use,4,No,Agency,56.0,46-60,C0400,4,1360152.99,340038.2475,479620.3,1239.145,2025-06-01,4,0,303,1,3,0,Luxury Investors
C0401,Individual,Brian,Anderson,,M,USA,Arizona,Personal Use,5,Yes,Website,56.0,46-60,C0401,4,1020913.0700000001,255228.26750000002,338232.19,853.07,2025-04-01,4,0,364,1,1,3,Global Investors
C0402,Individual,Brenda,Garcia,,F,USA,Georgia,Personal Use,5,No,Website,56.0,46-60,C0402,3,1054166.95,351388.98333333334,419555.74,1102.8633333333335,2025-10-01,3,0,181,1,1,3,Global Investors
C0403,Individual,Jennifer,Adams,,F,Australia,New South Wales,Personal Use,1,No,Website,56.0,46-60,C0403,3,878792.98,292930.99333333335,430423.76,1060.9733333333334,2024-07-01,2,1,638,1,2,3,Corporate Buyers
C0404,Individual,Sara,Cook,1976-12-05,F,France,Normandy,Investment,1,No,Client,50.0,46-60,C0404,3,731788.96,243929.65333333332,385857.81,753.3133333333334,2025-11-01,3,0,150,1,1,3,Global Investors
C0405,Corporate,Horizon,Co,,M,USA,Colorado,Personal Use,1,No,Agency,56.0,46-60,C0405,4,1310963.25,327740.8125,453518.72,1140.38,2025-05-01,4,0,334,1,1,3,Global Investors
C0406,Individual,Christine,Brown,,F,USA,Colorado,Personal Use,3,No,Website,56.0,46-60,C0406,4,1317165.12,329291.28,525171.0,1090.1925,2025-01-01,3,1,454,1,2,0,Corporate Buyers
C0407,Individual,Lisa,Freeman,,F,USA,California,Personal Use,2,No,Client,56.0,46-60,C0407,4,1254494.91,313623.7275,406850.28,1045.8025,2024-12-01,4,0,485,1,2,0,Corporate Buyers
C0408,Individual,Tyler,Rogers,1977-02-03,M,USA,California,Personal Use,3,No,Website,49.0,46-60,C0408,3,1320497.01,440165.67,574122.16,1413.0600000000002,2025-10-01,3,0,181,1,3,1,Luxury Investors
C0409,Individual,Timothy,Reyes,,M,USA,Nevada,Personal Use,1,Yes,Website,56.0,46-60,C0409,4,1816669.2,454167.3,599891.42,1449.3775,2024-12-01,2,2,485,1,3,1,Luxury Investors
C0410,Individual,Diane,Johnson,,F,Russia,Saint Petersburg,Personal Use,5,Yes,Agency,56.0,46-60,C0410,3,1021706.02,340568.67333333334,524175.54,1189.1899999999998,2025-03-01,3,0,395,1,2,0,Corporate Buyers
C0411,Individual,Amanda,Moore,1983-05-09,F,USA,California,Personal Use,2,No,Website,43.0,31-45,C0411,3,896987.21,298995.73666666663,475205.98,883.7466666666668,2024-06-01,1,2,668,1,2,0,Corporate Buyers
C0412,Individual,Karen,Richardson,,F,UK,Scotland,Personal Use,5,No,Website,56.0,46-60,C0412,3,1100376.25,366792.0833333333,493587.18,1260.8366666666668,2025-03-01,3,0,395,1,2,0,Corporate Buyers
C0413,Individual,Brandon,Smith,1940-07-11,M,Canada,British Columbia,Personal Use,3,No,Website,86.0,60+,C0413,4,1769126.22,442281.555,537806.31,1431.4575,2025-09-01,4,0,211,1,3,0,Luxury Investors
C0414,Individual,Brandon,Reed,1962-12-07,M,USA,California,Personal Use,4,No,Website,64.0,60+,C0414,4,1412148.94,353037.235,518926.42,1144.74,2025-11-01,3,1,150,1,1,0,Global Investors
C0415,Individual,Grace,Turner,1980-07-09,F,USA,Nevada,Personal Use,5,Yes,Agency,46.0,46-60,C0415,4,1305928.3499999999,326482.08749999997,503380.47,1093.05,2024-07-01,4,0,638,1,2,3,Corporate Buyers
C0416,Corporate,Bravada,Co,,M,Germany,North Rhine-Westphalia,Investment,5,Yes,Client,56.0,46-60,C0416,3,1059532.51,353177.50333333336,492952.77,1260.8366666666668,2025-11-01,3,0,150,1,1,0,Global Investors
C0417,Individual,Peter,Collins,1947-12-03,M,USA,Utah,Personal Use,2,No,Website,79.0,60+,C0417,3,1354773.96,451591.32,583440.71,1471.8999999999999,2024-09-01,3,0,576,1,3,1,Luxury Investors
C0418,Individual,Douglas,Howard,,M,USA,Arizona,Personal Use,5,No,Agency,56.0,46-60,C0418,4,1629486.83,407371.7075,529967.66,1276.8225,2025-04-01,4,0,364,1,3,0,Luxury Investors
C0419,Individual,Jack,Hansen,1962-11-03,M,USA,Washington,Personal Use,3,Yes,Agency,64.0,60+,C0419,4,1174012.19,293503.0475,419691.92,990.4475,2024-12-01,3,1,485,1,2,3,Corporate Buyers
C0420,Individual,Debra,Reyes,1994-01-04,F,USA,California,Personal Use,5,No,Agency,32.0,31-45,C0420,3,1260096.1600000001,420032.0533333334,588644.89,1330.2166666666667,2025-04-01,2,1,364,1,3,0,Luxury Investors
C0421,Individual,Zachary,Cox,,M,Germany,Hesse,Investment,5,Yes,Website,56.0,46-60,C0421,4,1495763.3699999999,373940.84249999997,585167.95,1203.905,2025-12-01,4,0,120,1,3,0,Luxury Investors
C0422,Corporate,Telnox,Co,,F,USA,California,Personal Use,1,Yes,Client,56.0,46-60,C0422,4,1653171.62,413292.905,555693.16,1428.5749999999998,2024-10-01,4,0,546,1,3,1,Luxury Investors
C0423,Individual,Rachel,Sanders,,F,USA,California,Personal Use,1,No,Client,56.0,46-60,C0423,3,1068716.19,356238.73,410950.81,1195.1966666666667,2025-08-01,2,1,242,1,1,0,Global Investors
C0424,Individual,Sarah,Stewart,1998-12-04,F,USA,Florida,Personal Use,1,No,Website,28.0,18-30,C0424,3,1034036.3,344678.76666666666,521067.94,1107.81,2025-02-01,3,0,423,1,2,0,Corporate Buyers
C0425,Individual,Gerald,Wright,1965-03-11,M,USA,Nevada,Personal Use,2,No,Agency,61.0,60+,C0425,3,1256932.48,418977.49333333335,560677.96,1452.2633333333333,2025-02-01,3,0,423,1,3,1,Luxury Investors
C0426,Individual,Julie,Brown,1953-10-07,F,USA,Oregon,Personal Use,4,Yes,Client,73.0,60+,C0426,3,890250.61,296750.2033333333,519106.96,874.19,2025-12-01,3,0,120,1,1,0,Global Investors
C0427,Individual,Sarah,Peterson,1994-09-06,F,USA,California,Personal Use,4,Yes,Website,32.0,31-45,C0427,4,1457016.31,364254.0775,563544.96,1216.595,2025-06-01,4,0,303,1,3,0,Luxury Investors
C0428,Individual,Gloria,Rogers,,F,USA,Oregon,Personal Use,3,No,Agency,56.0,46-60,C0428,4,984451.32,246112.83,330914.17,838.2925,2025-09-01,4,0,211,1,1,3,Global Investors
C0429,Individual,Danielle,Stone,1995-11-05,F,USA,California,Personal Use,3,Yes,Website,31.0,31-45,C0429,4,1503904.1600000001,375976.04000000004,573428.92,1374.585,2025-11-01,3,1,150,1,3,0,Luxury Investors
C0430,Individual,Roger,Wood,1974-10-05,M,USA,Nevada,Personal Use,2,No,Agency,52.0,46-60,C0430,3,931141.96,310380.6533333333,413945.61,1033.1033333333332,2025-05-01,2,1,334,1,2,0,Corporate Buyers
C0431,Individual,Austin,King,1969-05-05,M,USA,California,Personal Use,5,Yes,Website,57.0,46-60,C0431,4,1544751.33,386187.8325,562089.63,1246.6175,2025-04-01,4,0,364,1,3,0,Luxury Investors
C0432,Corporate,Grandis,Co,,M,USA,California,Personal Use,5,No,Agency,56.0,46-60,C0432,4,1277850.15,319462.5375,500722.63,1025.1499999999999,2025-08-01,4,0,242,1,1,0,Global Investors
C0433,Individual,Ruth,Hughes,1969-03-03,F,USA,California,Investment,2,Yes,Website,57.0,46-60,C0433,4,1937061.37,484265.3425,656465.4,1591.4724999999999,2025-09-01,4,0,211,1,3,1,Luxury Investors
C0434,Individual,Amanda,Sanders,,F,Russia,Tatarstan,Personal Use,5,No,Website,56.0,46-60,C0434,3,1364889.24,454963.08,603903.4,1445.5566666666666,2025-11-01,3,0,150,1,3,1,Luxury Investors
C0435,Individual,Sara,Richardson,,F,Australia,New South Wales,Personal Use,5,Yes,Website,56.0,46-60,C0435,3,908970.34,302990.11333333334,382435.3,1077.3233333333335,2024-11-01,3,0,515,1,2,3,Corporate Buyers
C0436,Individual,Brandon,Jones,1972-05-12,M,USA,Colorado,Personal Use,2,Yes,Client,54.0,46-60,C0436,4,1327594.64,331898.66,479775.72,1064.2625,2025-03-01,4,0,395,1,2,3,Corporate Buyers
C0437,Individual,Danielle,James,1990-10-05,F,USA,Texas,Personal Use,1,No,Website,36.0,31-45,C0437,3,657032.8200000001,219010.94000000003,353361.5,801.46,2024-08-01,3,0,607,1,2,3,Corporate Buyers
C0438,Individual,Gregory,Collins,1982-10-09,M,USA,Georgia,Investment,1,Yes,Client,44.0,31-45,C0438,4,1458641.1,364660.275,517610.73,1261.78,2025-05-01,4,0,334,1,3,0,Luxury Investors
C0439,Individual,Larry,Thompson,1956-03-08,M,USA,Virginia,Personal Use,2,No,Agency,70.0,60+,C0439,3,1273328.62,424442.87333333335,547817.26,1422.97,2024-03-01,2,1,760,1,2,1,Corporate Buyers
C0440,Individual,Lawrence,Parker,,M,USA,California,Investment,1,No,Agency,56.0,46-60,C0440,3,703498.83,234499.61,311878.98,845.8633333333333,2024-12-01,3,0,485,1,2,3,Corporate Buyers
C0441,Individual,Joan,Foster,1980-10-01,F,Russia,Krasnodar Krai,Investment,1,No,Agency,46.0,46-60,C0441,4,1525849.55,381462.3875,616227.01,1239.2649999999999,2025-10-01,3,1,181,1,3,0,Luxury Investors
C0442,Individual,Sarah,Hansen,,F,USA,Colorado,Personal Use,3,Yes,Website,56.0,46-60,C0442,4,1707466.97,426866.7425,520127.02,1489.73,2025-02-01,4,0,423,1,3,1,Luxury Investors
C0443,Individual,Noah,Foster,,M,Denmark,Capital Region,Personal Use,1,Yes,Agency,56.0,46-60,C0443,3,1355839.1,451946.3666666667,555912.87,1527.8633333333335,2024-07-01,3,0,638,1,3,1,Luxury Investors
C0444,Individual,Jennifer,Martin,,F,USA,California,Personal Use,2,No,Website,56.0,46-60,C0444,4,1054514.54,263628.635,399974.1,943.97,2025-11-01,3,1,150,1,1,0,Global Investors
C0445,Individual,Michelle,Evans,1995-11-12,F,USA,California,Personal Use,2,Yes,Website,31.0,31-45,C0445,4,1425691.63,356422.9075,518136.39,1101.9875,2025-07-01,3,1,273,1,1,0,Global Investors
C0446,Individual,Douglas,Thomas,1955-02-01,M,USA,Colorado,Personal Use,2,No,Website,71.0,60+,C0446,3,1024655.04,341551.68,426208.52,1258.6899999999998,2025-01-01,2,1,454,1,2,0,Corporate Buyers
C0447,Individual,Patricia,Johnson,,F,USA,New York,Personal Use,2,No,Website,56.0,46-60,C0447,3,1543592.15,514530.7166666666,605190.49,1680.5266666666666,2025-09-01,2,1,211,1,3,1,Luxury Investors
C0448,Individual,Mark,White,1980-06-10,M,USA,Nevada,Investment,2,No,Agency,46.0,46-60,C0448,3,942066.48,314022.16,458054.04,1050.08,2024-12-01,3,0,485,1,2,3,Corporate Buyers
C0449,Individual,Jordan,King,,M,USA,Oregon,Investment,2,No,Agency,56.0,46-60,C0449,3,1418922.44,472974.14666666667,594018.07,1504.28,2025-08-01,1,2,242,1,3,1,Luxury Investors
C0450,Individual,Matthew,Jackson,,M,Mexico,Nuevo Leon,Personal Use,3,No,Website,56.0,46-60,C0450,4,1555297.3699999999,388824.34249999997,473301.04,1258.5825,2025-01-01,4,0,454,1,3,0,Luxury Investors
C0451,Individual,Larry,Anderson,,M,Canada,Alberta,Investment,5,Yes,Client,56.0,46-60,C0451,4,1665967.4100000001,416491.85250000004,526063.15,1339.695,2025-10-01,3,1,181,1,3,0,Luxury Investors
C0452,Individual,Brandon,Adams,,M,USA,Washington,Personal Use,3,No,Website,56.0,46-60,C0452,4,1398358.69,349589.6725,515843.73,1086.2275,2025-09-01,4,0,211,1,1,0,Global Investors
C0453,Individual,Carl,Wood,,M,UK,Scotland,Investment,1,No,Website,56.0,46-60,C0453,4,1321010.76,330252.69,587960.16,1103.3025,2025-07-01,4,0,273,1,1,0,Global Investors
C0454,Corporate,Altira,Co,1961-04-01,F,USA,Nevada,Investment,4,No,Agency,65.0,60+,C0454,3,980683.73,326894.57666666666,522599.89,1072.4833333333333,2024-11-01,3,0,515,1,2,1,Corporate Buyers
C0455,Individual,Karen,Williams,1963-02-01,F,USA,California,Personal Use,1,No,Agency,63.0,60+,C0455,4,1125726.62,281431.655,477256.95,838.2925,2025-07-01,4,0,273,1,1,3,Global Investors
C0456,Individual,Virginia,Brooks,,F,USA,Oregon,Personal Use,3,Yes,Website,56.0,46-60,C0456,3,1349210.55,449736.85000000003,521158.55,1448.82,2025-08-01,3,0,242,1,3,1,Luxury Investors
C0457,Individual,Kenneth,Hansen,,M,UK,Wales,Investment,1,No,Agency,56.0,46-60,C0457,3,1399940.21,466646.73666666663,596228.96,1457.8333333333333,2025-04-01,3,0,364,1,3,1,Luxury Investors
C0458,Individual,Thomas,Turner,1995-07-04,M,USA,Oregon,Investment,1,No,Agency,31.0,31-45,C0458,4,1382881.81,345720.4525,503414.2,1123.3175,2025-09-01,3,1,211,1,1,0,Global Investors
C0459,Individual,Steven,Johnson,,M,USA,California,Personal Use,3,No,Agency,56.0,46-60,C0459,3,821716.14,273905.38,368466.6,945.65,2024-12-01,2,1,485,1,2,3,Corporate Buyers
C0460,Individual,Amanda,Cox,,F,USA,Virginia,Personal Use,1,No,Website,56.0,46-60,C0460,3,1061349.03,353783.01,484806.07,1078.7866666666666,2025-07-01,2,1,273,1,1,0,Global Investors
C0461,Individual,Jonathan,Peterson,,M,USA,Arizona,Personal Use,1,No,Agency,56.0,46-60,C0461,3,986630.39,328876.7966666667,473479.09,1157.47,2025-04-01,2,1,364,1,2,0,Corporate Buyers
C0462,Individual,Eric,White,,M,Australia,Victoria,Personal Use,2,No,Agency,56.0,46-60,C0462,4,1606667.68,401666.92,630993.32,1316.0375,2025-06-01,4,0,303,1,3,1,Luxury Investors
C0463,Individual,Nicholas,Garcia,,M,USA,California,Personal Use,5,No,Client,56.0,46-60,C0463,4,1235094.73,308773.6825,456678.02,989.46,2024-10-01,3,1,546,1,2,3,Corporate Buyers
C0464,Individual,Gregory,Turner,1974-12-11,M,USA,Florida,Personal Use,5,No,Website,52.0,46-60,C0464,4,1455550.0,363887.5,462200.84,1276.8225,2025-10-01,3,1,181,1,3,0,Luxury Investors
C0465,Individual,George,Carter,1949-09-02,M,USA,California,Personal Use,3,No,Website,77.0,60+,C0465,3,707799.9199999999,235933.30666666664,344983.8,839.1433333333334,2025-12-01,3,0,120,1,1,3,Global Investors
C0466,Individual,Patricia,Cox,,F,USA,Virginia,Investment,2,No,Website,56.0,46-60,C0466,4,1228651.21,307162.8025,446810.74,1030.21,2025-11-01,3,1,150,1,1,0,Global Investors
C0467,Individual,Rebecca,Chavez,1952-04-05,F,USA,Ohio,Personal Use,1,Yes,Agency,74.0,60+,C0467,3,976066.93,325355.64333333337,433348.26,1155.6966666666667,2025-08-01,3,0,242,1,1,0,Global Investors
C0468,Individual,Raymond,Smith,,M,Mexico,Jalisco,Investment,3,Yes,Website,56.0,46-60,C0468,3,1267396.7999999998,422465.5999999999,511655.42,1386.32,2024-09-01,2,1,576,1,3,1,Luxury Investors
C0469,Individual,Adam,Foster,,M,USA,California,Personal Use,2,No,Website,56.0,46-60,C0469,4,1518476.47,379619.1175,502622.02,1265.3825,2024-10-01,4,0,546,1,3,1,Luxury Investors
C0470,Individual,Joan,Anderson,,F,USA,Oregon,Personal Use,1,No,Agency,56.0,46-60,C0470,3,862552.54,287517.51333333337,497090.51,883.7466666666666,2024-11-01,3,0,515,1,2,3,Corporate Buyers
C0471,Individual,Gary,Collins,,M,USA,Utah,Investment,3,No,Agency,56.0,46-60,C0471,3,1084997.39,361665.79666666663,513906.66,1209.64,2024-10-01,1,2,546,1,2,1,Corporate Buyers
C0472,Individual,Edward,Moore,1951-10-04,M,USA,California,Personal Use,4,No,Website,75.0,60+,C0472,3,1277486.3699999999,425828.79,529761.19,1394.21,2025-11-01,3,0,150,1,3,0,Luxury Investors
C0473,Individual,Sharon,Price,1981-08-09,F,USA,California,Personal Use,3,No,Agency,45.0,31-45,C0473,4,1304527.6600000001,326131.91500000004,518735.4,1042.725,2025-10-01,4,0,181,1,1,0,Global Investors
C0474,Individual,Gregory,Young,1995-12-08,M,USA,Nevada,Personal Use,1,No,Website,31.0,31-45,C0474,4,962015.29,240503.8225,413387.67,824.2025,2025-12-01,3,1,120,1,1,0,Global Investors
C0475,Individual,William,Brooks,,M,Belgium,Wallonia,Investment,2,Yes,Agency,56.0,46-60,C0475,3,1234470.16,411490.0533333333,455542.16,1371.6133333333335,2024-08-01,1,2,607,1,2,1,Corporate Buyers
C0476,Individual,Steven,Johnson,1997-04-05,M,USA,Florida,Personal Use,3,No,Agency,29.0,18-30,C0476,4,1485303.01,371325.7525,457069.23,1299.3675,2025-05-01,3,1,334,1,3,0,Luxury Investors
C0477,Individual,Jesse,Stone,1984-02-01,M,USA,California,Investment,4,Yes,Website,42.0,31-45,C0477,3,1535114.88,511704.95999999996,734390.86,1452.2633333333333,2025-08-01,2,1,242,1,3,1,Luxury Investors
C0478,Individual,Ashley,Garcia,1940-08-02,F,USA,Ohio,Investment,4,No,Website,86.0,60+,C0478,3,774892.79,258297.59666666668,404581.32,997.4133333333333,2024-10-01,2,1,546,1,2,0,Corporate Buyers
C0479,Individual,Virginia,Wright,1978-04-06,F,USA,California,Personal Use,2,Yes,Agency,48.0,46-60,C0479,4,1172782.93,293195.7325,494567.75,956.6725,2025-07-01,3,1,273,1,1,0,Global Investors
C0480,Individual,Scott,Bryant,,M,USA,California,Personal Use,4,Yes,Website,56.0,46-60,C0480,4,1033261.03,258315.2575,347137.85,827.2,2025-07-01,4,0,273,1,1,3,Global Investors
C0481,Individual,Sean,Williams,1976-12-12,M,USA,Arizona,Personal Use,3,No,Agency,50.0,46-60,C0481,4,1365460.24,341365.06,539294.72,1040.8899999999999,2025-09-01,3,1,211,1,1,0,Global Investors
C0482,Individual,Deborah,Brown,1980-10-08,F,USA,New York,Investment,3,Yes,Agency,46.0,46-60,C0482,3,1006132.77,335377.59,421206.38,1155.4633333333334,2025-10-01,2,1,181,1,1,0,Global Investors
C0483,Individual,Kevin,Jackson,1985-11-08,M,USA,Arizona,Investment,1,No,Website,41.0,31-45,C0483,3,881113.79,293704.5966666667,415468.55,934.8733333333333,2025-01-01,3,0,454,1,2,3,Corporate Buyers
C0484,Individual,Janet,Wright,,F,USA,Texas,Investment,3,No,Website,56.0,46-60,C0484,4,1313240.67,328310.1675,412809.69,1114.105,2025-07-01,3,1,273,1,1,0,Global Investors
C0485,Individual,Julia,Morales,1991-10-07,F,USA,Arizona,Personal Use,2,No,Website,35.0,31-45,C0485,3,1000841.1799999999,333613.7266666666,603778.82,1144.8033333333333,2024-10-01,3,0,546,1,2,0,Corporate Buyers
C0486,Individual,Billy,Carter,,M,USA,California,Investment,2,Yes,Website,56.0,46-60,C0486,3,1090587.66,363529.22,599081.0,1175.45,2025-05-01,3,0,334,1,2,0,Corporate Buyers
C0487,Individual,Jessica,Williams,,F,USA,Washington,Personal Use,5,No,Website,56.0,46-60,C0487,4,1576272.71,394068.1775,542265.03,1295.0975,2025-07-01,3,1,273,1,3,0,Luxury Investors
C0488,Individual,Megan,Jackson,1979-05-11,F,USA,California,Investment,4,No,Agency,47.0,46-60,C0488,4,1218265.3599999999,304566.33999999997,559367.69,990.9875000000001,2024-12-01,3,1,485,1,2,3,Corporate Buyers
C0489,Individual,Austin,Jordan,1950-06-08,M,Germany,Berlin,Investment,2,No,Website,76.0,60+,C0489,3,1025274.77,341758.25666666665,439792.36,1102.8633333333335,2024-08-01,3,0,607,1,2,0,Corporate Buyers
C0490,Individual,Emily,Wright,,F,USA,Nevada,Investment,5,Yes,Website,56.0,46-60,C0490,3,1292367.93,430789.31,517225.72,1240.6066666666666,2025-11-01,3,0,150,1,3,1,Luxury Investors
C0491,Individual,Noah,White,1941-08-05,M,USA,Washington,Personal Use,2,No,Website,85.0,60+,C0491,3,1106379.8,368793.26666666666,527792.52,1168.3833333333334,2024-12-01,3,0,485,1,2,0,Corporate Buyers
C0492,Individual,Raymond,Price,2000-05-07,M,USA,Utah,Personal Use,3,Yes,Website,26.0,18-30,C0492,4,1300917.1,325229.275,551610.52,1008.6625,2025-08-01,4,0,242,1,1,0,Global Investors
C0493,Individual,Tyler,Hughes,1954-07-06,M,USA,Colorado,Personal Use,3,No,Website,72.0,60+,C0493,4,1312198.98,328049.745,432134.46,1141.225,2025-04-01,3,1,364,1,2,0,Corporate Buyers
C0494,Individual,Grace,Carter,1990-08-03,F,USA,California,Personal Use,3,Yes,Website,36.0,31-45,C0494,4,1052676.65,263169.1625,379142.42,911.0425,2025-12-01,4,0,120,1,1,0,Global Investors
C0495,Individual,Jerry,Hall,,M,USA,California,Investment,5,No,Client,56.0,46-60,C0495,4,1246742.44,311685.61,420300.71,984.9525,2025-12-01,4,0,120,1,1,0,Global Investors
C0496,Individual,Billy,Reyes,1990-01-04,M,USA,California,Personal Use,4,No,Agency,36.0,31-45,C0496,4,1120376.44,280094.11,352076.14,947.7475000000001,2025-05-01,4,0,334,1,1,0,Global Investors
C0497,Individual,Emma,Stewart,1985-02-02,F,USA,Arizona,Investment,4,Yes,Website,41.0,31-45,C0497,3,1330684.99,443561.66333333333,526810.49,1438.2933333333333,2025-04-01,2,1,364,1,3,0,Luxury Investors
C0498,Individual,Nancy,Collins,,F,Canada,Alberta,Personal Use,2,Yes,Website,56.0,46-60,C0498,3,1007455.29,335818.43,419982.23,1258.3999999999999,2024-12-01,2,1,485,1,2,1,Corporate Buyers
C0499,Individual,Lisa,Patterson,1946-02-10,F,USA,Colorado,Personal Use,3,Yes,Agency,80.0,60+,C0499,3,897769.81,299256.60333333333,383627.2,863.7633333333333,2025-02-01,2,1,423,1,2,0,Corporate Buyers
C0500,Individual,Dennis,Howard,,M,USA,California,Personal Use,4,Yes,Website,56.0,46-60,C0500,3,1294944.52,431648.17333333334,476123.08,1438.2933333333333,2024-12-01,2,1,485,1,3,1,Luxury Investors
C0501,Individual,Kenneth,Jackson,1995-11-12,M,USA,Nevada,Investment,5,Yes,Agency,31.0,31-45,C0501,4,1741166.27,435291.5675,545614.44,1454.35,2025-05-01,3,1,334,1,3,0,Luxury Investors
C0502,Individual,Madison,Gray,,F,USA,Arizona,Personal Use,4,No,Website,56.0,46-60,C0502,4,1537989.75,384497.4375,483760.31,1324.385,2025-08-01,2,2,242,1,3,0,Luxury Investors
C0503,Individual,Keith,Peterson,,M,USA,Utah,Investment,2,Yes,Client,56.0,46-60,C0503,4,1432167.34,358041.835,609798.92,1135.53,2025-09-01,3,1,211,1,1,0,Global Investors
C0504,Individual,Jeffrey,Green,,M,USA,Utah,Personal Use,2,No,Website,56.0,46-60,C0504,4,1367188.58,341797.145,463948.75,1108.6075,2025-12-01,4,0,120,1,1,0,Global Investors
C0505,Individual,Katherine,Wilson,,F,USA,Arizona,Personal Use,3,No,Agency,56.0,46-60,C0505,3,1043535.21,347845.07,462127.71,1125.17,2024-09-01,3,0,576,1,2,3,Corporate Buyers
C0506,Individual,Albert,Stone,1967-07-04,M,USA,California,Personal Use,5,No,Agency,59.0,46-60,C0506,3,1122203.03,374067.6766666667,461159.55,1267.4066666666668,2025-11-01,2,1,150,1,3,0,Luxury Investors
C0507,Individual,Mark,Morales,,M,USA,New York,Personal Use,3,No,Website,56.0,46-60,C0507,3,1062656.6099999999,354218.86999999994,474018.4,1221.3833333333334,2025-06-01,3,0,303,1,1,0,Global Investors
C0508,Individual,Grace,Weaver,1970-01-06,F,USA,Nevada,Personal Use,5,No,Agency,56.0,46-60,C0508,3,833710.06,277903.35333333333,463860.46,900.6166666666667,2025-01-01,2,1,454,1,2,3,Corporate Buyers
C0509,Individual,Aaron,Cook,1956-04-02,M,Belgium,Wallonia,Personal Use,3,No,Website,70.0,60+,C0509,4,1687930.25,421982.5625,636508.92,1333.2775000000001,2025-01-01,3,1,454,1,3,0,Luxury Investors
C0510,Individual,Samantha,Evans,,F,France,Brittany,Investment,1,Yes,Website,56.0,46-60,C0510,3,1094232.67,364744.2233333333,504493.45,1243.8233333333333,2025-07-01,3,0,273,1,3,0,Luxury Investors
C0511,Individual,Christine,Parker,,F,UK,England,Personal Use,2,No,Website,56.0,46-60,C0511,3,1090537.6,363512.5333333334,505829.95,1179.5233333333333,2025-05-01,1,2,334,1,2,0,Corporate Buyers
C0512,Individual,Hannah,Flores,,F,USA,Arizona,Personal Use,1,No,Client,56.0,46-60,C0512,3,1448158.1400000001,482719.38000000006,558618.92,1654.4733333333334,2025-11-01,3,0,150,1,3,1,Luxury Investors
C0513,Individual,Christian,Morales,1999-03-07,M,USA,Florida,Personal Use,2,Yes,Agency,27.0,18-30,C0513,3,974596.63,324865.54333333333,491938.8,1049.5133333333333,2024-12-01,3,0,485,1,2,0,Corporate Buyers
C0514,Individual,Rebecca,Evans,,F,USA,Oregon,Personal Use,1,Yes,Website,56.0,46-60,C0514,4,1528027.54,382006.885,598032.14,1316.0375,2025-07-01,2,2,273,1,3,1,Luxury Investors
C0515,Individual,Melissa,Patterson,1963-09-12,F,USA,California,Personal Use,1,Yes,Website,63.0,60+,C0515,4,1561824.93,390456.2325,486501.61,1342.7925,2025-08-01,4,0,242,1,3,1,Luxury Investors
